number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
122,Mr. Mime,https://pokemondb.net/pokedex/mr-mime,"Psychic, Fairy",130.0 cm,54.5 kg,##0866 - Mr. Rime - https://pokemondb.net/pokedex/mr-rime,"[{'name': 'Soundproof', 'desc': 'Avoids sound-based moves.', 'effect': 'Soundproof grants the Pokémon immunity to all sound-based moves, preventing all damage and effects.', 'url': 'https://pokemondb.net/ability/soundproof'}, {'name': 'Filter', 'desc': 'Powers down supereffective moves.', 'effect': 'Filter reduces the damage taken from super-effective attacks by 25%.', 'url': 'https://pokemondb.net/ability/filter'}, {'name': 'Technician', 'desc': 'Powers up the Pokémon’s weaker moves.', 'effect': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%.', 'url': 'https://pokemondb.net/ability/technician'}, {'name': 'Vital Spirit', 'desc': 'Prevents sleep.', 'effect': 'Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest.', 'url': 'https://pokemondb.net/ability/vital-spirit'}, {'name': 'Screen Cleaner', 'desc': 'When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.', 'effect': 'Nullifies effects of Light Screen, Reflect, and Aurora Veil.\n', 'url': 'https://pokemondb.net/ability/screen-cleaner'}, {'name': 'Ice Body', 'desc': 'The Pokémon regains HP in a hailstorm.', 'effect': 'A Pokémon with Ice Body will recover 1⁄16 of its maximum HP during hail, after each turn. It also grants immunity to the hailstorm damage, if not already immune.', 'url': 'https://pokemondb.net/ability/ice-body'}]"
123,Scyther,https://pokemondb.net/pokedex/scyther,"Bug, Flying",150.0 cm,56.0 kg,##0212 - Scizor - https://pokemondb.net/pokedex/scizor; ##0900 - Kleavor - https://pokemondb.net/pokedex/kleavor,"[{'name': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'effect': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'name': 'Technician', 'desc': 'Powers up the Pokémon’s weaker moves.', 'effect': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%.', 'url': 'https://pokemondb.net/ability/technician'}, {'name': 'Steadfast', 'desc': 'Raises Speed each time the Pokémon flinches.', 'effect': 'Raises Speed each time the Pokémon flinches.\n', 'url': 'https://pokemondb.net/ability/steadfast'}]"
124,Jynx,https://pokemondb.net/pokedex/jynx,"Ice, Psychic",140.0 cm,40.6 kg,,"[{'name': 'Oblivious', 'desc': 'Prevents attraction.', 'effect': 'Oblivious makes the Pokémon immune to gender-based moves and abilities, specifically Attract, Captivate and Cute Charm.', 'url': 'https://pokemondb.net/ability/oblivious'}, {'name': 'Forewarn', 'desc': 'Determines what moves the foe has.', 'effect': 'Determines what moves a foe has.\n', 'url': 'https://pokemondb.net/ability/forewarn'}, {'name': 'Dry Skin', 'desc': 'Reduces HP if it is hot. Water restores HP.', 'effect': 'Dry Skin causes several effects:', 'url': 'https://pokemondb.net/ability/dry-skin'}]"
125,Electabuzz,https://pokemondb.net/pokedex/electabuzz,Electric,110.0 cm,30.0 kg,##0466 - Electivire - https://pokemondb.net/pokedex/electivire,"[{'name': 'Static', 'desc': 'Paralyzes on contact.', 'effect': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'name': 'Vital Spirit', 'desc': 'Prevents sleep.', 'effect': 'Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest.', 'url': 'https://pokemondb.net/ability/vital-spirit'}]"
126,Magmar,https://pokemondb.net/pokedex/magmar,Fire,130.0 cm,44.5 kg,##0467 - Magmortar - https://pokemondb.net/pokedex/magmortar,"[{'name': 'Flame Body', 'desc': 'Burns the foe on contact.', 'effect': 'If a Pokémon with Flame Body is hit by a move that makes contact, there is a 30% chance the attacker will become burned.', 'url': 'https://pokemondb.net/ability/flame-body'}, {'name': 'Vital Spirit', 'desc': 'Prevents sleep.', 'effect': 'Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest.', 'url': 'https://pokemondb.net/ability/vital-spirit'}]"
127,Pinsir,https://pokemondb.net/pokedex/pinsir,Bug,150.0 cm,55.0 kg,,"[{'name': 'Hyper Cutter', 'desc': 'Prevents ATTACK reduction.', 'effect': ""Hyper Cutter prevents the bearer's Attack stat from being lowered by other Pokémon, through moves such as Growl or abilities such as Intimidate."", 'url': 'https://pokemondb.net/ability/hyper-cutter'}, {'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}, {'name': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'effect': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'name': 'Aerilate', 'desc': 'Normal-type moves become Flying-type moves.', 'effect': 'Aerilate causes all Normal-type attacking moves used by the Pokémon to become Flying-type, and increase in power by 20%.', 'url': 'https://pokemondb.net/ability/aerilate'}]"
128,Tauros,https://pokemondb.net/pokedex/tauros,Normal,140.0 cm,88.4 kg,,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Anger Point', 'desc': 'Raises Attack upon taking a critical hit.', 'effect': ""Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit."", 'url': 'https://pokemondb.net/ability/anger-point'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}, {'name': 'Cud Chew', 'desc': 'When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.', 'effect': 'Cud Chew causes the Pokémon to reuse an already consumed Berry at the end of the next turn.', 'url': 'https://pokemondb.net/ability/cud-chew'}]"
129,Magikarp,https://pokemondb.net/pokedex/magikarp,Water,90.0 cm,10.0 kg,##0130 - Gyarados - https://pokemondb.net/pokedex/gyarados,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Rattled', 'desc': 'Some move types scare it and boost its Speed.', 'effect': 'When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}]"
130,Gyarados,https://pokemondb.net/pokedex/gyarados,"Water, Flying",650.0 cm,235.0 kg,,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'effect': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}, {'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}]"
131,Lapras,https://pokemondb.net/pokedex/lapras,"Water, Ice",250.0 cm,220.0 kg,,"[{'name': 'Water Absorb', 'desc': 'Changes water into HP.', 'effect': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}, {'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Hydration', 'desc': 'Heals status problems if it is raining.', 'effect': 'A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest.', 'url': 'https://pokemondb.net/ability/hydration'}]"
132,Ditto,https://pokemondb.net/pokedex/ditto,Normal,30.0 cm,4.0 kg,,"[{'name': 'Limber', 'desc': 'Prevents paralysis.', 'effect': 'The Pokémon is protected from paralysis.\n', 'url': 'https://pokemondb.net/ability/limber'}, {'name': 'Imposter', 'desc': 'It transforms itself into the Pokémon it is facing.', 'effect': 'It transforms itself into the Pokémon it is facing.\n', 'url': 'https://pokemondb.net/ability/imposter'}]"
133,Eevee,https://pokemondb.net/pokedex/eevee,Normal,30.0 cm,6.5 kg,##0134 - Vaporeon - https://pokemondb.net/pokedex/vaporeon; ##0135 - Jolteon - https://pokemondb.net/pokedex/jolteon; ##0136 - Flareon - https://pokemondb.net/pokedex/flareon; ##0196 - Espeon - https://pokemondb.net/pokedex/espeon; ##0197 - Umbreon - https://pokemondb.net/pokedex/umbreon; ##0470 - Leafeon - https://pokemondb.net/pokedex/leafeon; ##0471 - Glaceon - https://pokemondb.net/pokedex/glaceon; ##0700 - Sylveon - https://pokemondb.net/pokedex/sylveon,"[{'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'name': 'Adaptability', 'desc': 'Powers up moves of the same type.', 'effect': 'Adaptability increases the effectiveness of STAB moves from the usual 1.5× to 2×.', 'url': 'https://pokemondb.net/ability/adaptability'}, {'name': 'Anticipation', 'desc': 'Senses the foe’s dangerous moves.', 'effect': 'A Pokémon with Anticipation will shudder upon entering battle, if an opponent has a move that is super-effective against it, or a One-Hit-KO move (Fissure, Horn Drill, Guillotine or Sheer Cold). It only activates when the ability-bearer switches in, not when an opponent switches in.', 'url': 'https://pokemondb.net/ability/anticipation'}]"
134,Vaporeon,https://pokemondb.net/pokedex/vaporeon,Water,100.0 cm,29.0 kg,##0135 - Jolteon - https://pokemondb.net/pokedex/jolteon; ##0136 - Flareon - https://pokemondb.net/pokedex/flareon; ##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0196 - Espeon - https://pokemondb.net/pokedex/espeon; ##0197 - Umbreon - https://pokemondb.net/pokedex/umbreon; ##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0470 - Leafeon - https://pokemondb.net/pokedex/leafeon; ##0471 - Glaceon - https://pokemondb.net/pokedex/glaceon; ##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0700 - Sylveon - https://pokemondb.net/pokedex/sylveon,"[{'name': 'Water Absorb', 'desc': 'Changes water into HP.', 'effect': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}, {'name': 'Hydration', 'desc': 'Heals status problems if it is raining.', 'effect': 'A Pokémon with Hydration will cure itself of any status conditions during rain, at the end of each turn. This includes self-inflicted conditions such as from using Rest.', 'url': 'https://pokemondb.net/ability/hydration'}]"
135,Jolteon,https://pokemondb.net/pokedex/jolteon,Electric,80.0 cm,24.5 kg,##0136 - Flareon - https://pokemondb.net/pokedex/flareon; ##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0196 - Espeon - https://pokemondb.net/pokedex/espeon; ##0197 - Umbreon - https://pokemondb.net/pokedex/umbreon; ##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0470 - Leafeon - https://pokemondb.net/pokedex/leafeon; ##0471 - Glaceon - https://pokemondb.net/pokedex/glaceon; ##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0700 - Sylveon - https://pokemondb.net/pokedex/sylveon,"[{'name': 'Volt Absorb', 'desc': 'Turns electricity into HP.', 'effect': 'A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.', 'url': 'https://pokemondb.net/ability/volt-absorb'}, {'name': 'Quick Feet', 'desc': 'Boosts Speed if there is a status problem.', 'effect': ""Quick Feet raises the ability-bearer's Speed by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If paralyzed, the Pokémon does not suffer the usual drop in Speed."", 'url': 'https://pokemondb.net/ability/quick-feet'}]"
136,Flareon,https://pokemondb.net/pokedex/flareon,Fire,90.0 cm,25.0 kg,##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0196 - Espeon - https://pokemondb.net/pokedex/espeon; ##0197 - Umbreon - https://pokemondb.net/pokedex/umbreon; ##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0470 - Leafeon - https://pokemondb.net/pokedex/leafeon; ##0471 - Glaceon - https://pokemondb.net/pokedex/glaceon; ##0133 - Eevee - https://pokemondb.net/pokedex/eevee; ##0700 - Sylveon - https://pokemondb.net/pokedex/sylveon,"[{'name': 'Flash Fire', 'desc': 'Powers up if hit by fire.', 'effect': ""When a Pokémon with Flash Fire is hit by a Fire-type move, it does not deal damage but instead raises the power of the bearer's Fire-type moves by 50%. Subsequent hits do not raise the power even more, but the effect remains while the ability-bearer is in battle."", 'url': 'https://pokemondb.net/ability/flash-fire'}, {'name': 'Guts', 'desc': 'Ups ATTACK if suffering.', 'effect': ""Guts raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack."", 'url': 'https://pokemondb.net/ability/guts'}]"
137,Porygon,https://pokemondb.net/pokedex/porygon,Normal,80.0 cm,36.5 kg,##0233 - Porygon2 - https://pokemondb.net/pokedex/porygon2; ##0474 - Porygon-Z - https://pokemondb.net/pokedex/porygon-z,"[{'name': 'Trace', 'desc': 'Copies special ability.', 'effect': ""The Pokémon copies a foe's Ability.\n"", 'url': 'https://pokemondb.net/ability/trace'}, {'name': 'Download', 'desc': 'Adjusts power according to the foe’s ability.', 'effect': ""Download raises either the bearer's Attack or Special Attack by one stage when switching into battle, base on the opponent's defenses."", 'url': 'https://pokemondb.net/ability/download'}, {'name': 'Analytic', 'desc': 'Boosts move power when the Pokémon moves last.', 'effect': 'Boosts move power when the Pokémon moves last.\n', 'url': 'https://pokemondb.net/ability/analytic'}]"
138,Omanyte,https://pokemondb.net/pokedex/omanyte,"Rock, Water",40.0 cm,7.5 kg,##0139 - Omastar - https://pokemondb.net/pokedex/omastar,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]"
139,Omastar,https://pokemondb.net/pokedex/omastar,"Rock, Water",100.0 cm,35.0 kg,,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]"
